
code	|	name	|	preferred name	|	taxid
1	|	Staphylococcus aureus	|	 	|	1280
1	|	Streptococcus pneumoniae	|	 	|	1313
1	|	Escherichia coli	|	 	|	562
1	|	Mycobacterium tuberculosis	|	 	|	1773
1	|	Acinetobacter baumannii	|	 	|	470
1	|	Salmonella enterica	|	 	|	28901
1	|	Pseudomonas aeruginosa	|	 	|	287
1	|	Brucella abortus	|	 	|	235
1	|	Klebsiella pneumoniae	|	 	|	573
1	|	Enterococcus faecalis	|	 	|	1351
1	|	Streptococcus agalactiae	|	 	|	1311
1	|	Enterococcus faecium	|	 	|	1352
1	|	Streptococcus pyogenes	|	 	|	1314
1	|	Vibrio parahaemolyticus	|	 	|	670
1	|	Clostridium difficile	|	Clostridioides difficile	|	1496
1	|	Vibrio cholerae	|	 	|	666
1	|	Neisseria meningitidis	|	 	|	487
1	|	Leptospira interrogans	|	 	|	173
1	|	Streptococcus mutans	|	 	|	1309
1	|	Burkholderia pseudomallei	|	 	|	28450
1	|	Yersinia pestis	|	 	|	632
1	|	Bacillus anthracis	|	 	|	1392
1	|	Campylobacter jejuni	|	 	|	197
1	|	Bordetella bronchiseptica	|	 	|	518
1	|	Propionibacterium acnes	|	Cutibacterium acnes	|	1747
1	|	Staphylococcus epidermidis	|	 	|	1282
1	|	Bacillus cereus	|	 	|	1396
1	|	Bacteroides fragilis	|	 	|	817
1	|	Mycobacterium abscessus	|	Mycobacteroides abscessus	|	36809
1	|	Helicobacter pylori	|	 	|	210
1	|	Chlamydia trachomatis	|	 	|	813
1	|	Xanthomonas axonopodis	|	 	|	53413
1	|	Enterobacter cloacae	|	 	|	550
1	|	Lactobacillus paracasei	|	Lacticaseibacillus paracasei	|	1597
1	|	Campylobacter coli	|	 	|	195
1	|	Oenococcus oeni	|	 	|	1247
1	|	Francisella tularensis	|	 	|	263
1	|	Listeria monocytogenes	|	 	|	1639
1	|	Bacillus subtilis	|	 	|	1423
1	|	Pseudomonas syringae	|	 	|	317
1	|	Salinispora arenicola	|	 	|	168697
1	|	Bifidobacterium longum	|	 	|	216816
1	|	Chlamydia psittaci	|	 	|	83554
1	|	Streptococcus sobrinus	|	 	|	1310
1	|	Mycobacterium avium	|	 	|	1764
1	|	Mesorhizobium sp.	|	 	|	1871066
1	|	Haemophilus influenzae	|	 	|	727
1	|	Rickettsia rickettsii	|	 	|	783
1	|	Streptococcus suis	|	 	|	1307
1	|	Streptomyces rimosus	|	 	|	1927
1	|	Kingella kingae	|	 	|	504
1	|	Bacillus amyloliquefaciens	|	 	|	1390
1	|	Sinorhizobium meliloti	|	 	|	382
1	|	Leptospira kirschneri	|	 	|	29507
1	|	Lactobacillus rhamnosus	|	Lacticaseibacillus rhamnosus	|	47715
1	|	Clostridium botulinum	|	 	|	1491
1	|	Prochlorococcus sp.	|	 	|	1220
1	|	Leptospira santarosai	|	 	|	28183
1	|	Legionella pneumophila	|	 	|	446
1	|	Serratia marcescens	|	 	|	615
1	|	Borrelia burgdorferi	|	Borreliella burgdorferi	|	139
1	|	Actinobacillus pleuropneumoniae	|	 	|	715
1	|	Lactobacillus plantarum	|	Lactiplantibacillus plantarum	|	1590
1	|	Streptomyces griseus	|	 	|	1911
1	|	Gallibacterium anatis	|	 	|	750
1	|	Vibrio cyclitrophicus	|	 	|	47951
1	|	Leptospira borgpetersenii	|	 	|	174
1	|	Lactococcus lactis	|	 	|	1358
1	|	Bordetella holmesii	|	 	|	35814
1	|	Xanthomonas vasicola	|	 	|	56459
1	|	Corynebacterium pseudotuberculosis	|	 	|	1719
1	|	Pasteurella multocida	|	 	|	747
1	|	Bifidobacterium animalis	|	 	|	28025
1	|	Taylorella equigenitalis	|	 	|	29575
1	|	Tropheryma whipplei	|	 	|	2039
1	|	Bacillus atrophaeus	|	 	|	1452
1	|	Yersinia enterocolitica	|	 	|	630
1	|	Aggregatibacter actinomycetemcomitans	|	 	|	714
1	|	Neisseria gonorrhoeae	|	 	|	485
1	|	Mannheimia haemolytica	|	 	|	75985
1	|	Salinispora pacifica	|	 	|	351187
1	|	Fusobacterium nucleatum	|	 	|	851
1	|	Borrelia garinii	|	Borreliella garinii	|	29519
1	|	Enterobacter aerogenes	|	Klebsiella aerogenes	|	548
1	|	Lactobacillus iners	|	 	|	147802
1	|	Corynebacterium diphtheriae	|	 	|	1717
1	|	Geobacillus kaustophilus	|	 	|	1462
1	|	Bacteroides vulgatus	|	Phocaeicola vulgatus	|	821
1	|	Parabacteroides distasonis	|	 	|	823
1	|	Cronobacter sakazakii	|	 	|	28141
1	|	Bifidobacterium breve	|	 	|	1685
1	|	Xylella fastidiosa	|	 	|	2371
1	|	Microcystis aeruginosa	|	 	|	1126
1	|	Vibrio vulnificus	|	 	|	672
1	|	Bartonella quintana	|	 	|	803
1	|	Anaplasma marginale	|	 	|	770
1	|	Lactobacillus helveticus	|	 	|	1587
1	|	Aeromonas hydrophila	|	 	|	644
1	|	Pseudomonas putida	|	 	|	303
1	|	Burkholderia cenocepacia	|	 	|	95486
1	|	Flavobacterium psychrophilum	|	 	|	96345
1	|	Fusobacterium necrophorum	|	 	|	859
1	|	Comamonas testosteroni	|	 	|	285
1	|	Ralstonia solanacearum	|	 	|	305
1	|	Bacillus megaterium	|	Priestia megaterium	|	1404
1	|	Treponema denticola	|	 	|	158
1	|	Rickettsia prowazekii	|	 	|	782
1	|	Bartonella bacilliformis	|	 	|	774
1	|	Treponema pallidum	|	 	|	160
1	|	Moraxella catarrhalis	|	 	|	480
1	|	Porphyromonas gingivalis	|	 	|	837
1	|	Thioalkalivibrio sp.	|	 	|	2093813
1	|	Erwinia amylovora	|	 	|	552
1	|	Klebsiella oxytoca	|	 	|	571
1	|	Elizabethkingia anophelis	|	 	|	1117645
1	|	Clostridium perfringens	|	 	|	1502
1	|	Porphyromonas gulae	|	 	|	111105
1	|	Mycobacterium intracellulare	|	 	|	1767
1	|	Vibrio campbellii	|	 	|	680
1	|	Vibrio ordalii	|	 	|	28174
1	|	Chlamydia muridarum	|	 	|	83560
1	|	Haemophilus parasuis	|	Glaesserella parasuis	|	738
1	|	Thermoanaerobacter ethanolicus	|	 	|	1757
1	|	Acinetobacter lwoffii	|	 	|	28090
1	|	Pseudomonas fluorescens	|	 	|	294
1	|	Mycobacterium leprae	|	 	|	1769
1	|	Lactobacillus acidophilus	|	 	|	1579
1	|	Salinispora tropica	|	 	|	168695
1	|	Coxiella burnetii	|	 	|	777
1	|	Burkholderia thailandensis	|	 	|	57975
1	|	Citrobacter freundii	|	 	|	546
1	|	Bacillus pumilus	|	 	|	1408
1	|	Lactobacillus delbrueckii	|	 	|	1584
1	|	Lactobacillus crispatus	|	 	|	47770
1	|	Corynebacterium glutamicum	|	 	|	1718
1	|	Rhodococcus fascians	|	 	|	1828
